"Date","X.IXIC","X.NDX","X.DJI","X.GSPC","X.MXX","X.VIX","X000001.SS","X.HSI","X.N225","X.KS11","X.BSESN","X.GDAXI","X.FCHI","X.FTSE","X.IBEX","X.STOXX50E","X.STOXX","X.TNX","X.TYX","DX.Y.NYB","X.CMC200"
2007-01-04,2453.429932,1792.910034,12480.69043,1418.339966,26566.279297,11.51,NA,20025.580078,NA,1397.290039,13871.709961,6674.399902,5574.560059,6287,14382.400391,NA,368.76001,4.618,4.724,84.32,NA
2007-01-05,2434.25,1785.300049,12398.009766,1409.709961,26135.599609,12.14,2641.333984,20211.279297,17091.589844,1385.76001,13860.519531,6593.089844,5517.350098,6220.100098,14304.700195,NA,365.690002,4.646,4.743,84.629997,NA
2007-01-08,2438.199951,1787.140015,12423.490234,1412.839966,26281.640625,12,2707.198975,20029.660156,NA,1370.810059,13652.150391,6607.589844,5518.589844,6194.200195,14322.299805,NA,365.380005,4.66,4.74,84.599998,NA
2007-01-09,2443.830078,1795.630005,12416.599609,1412.109985,25783.039063,11.91,2807.803955,19898.080078,17237.769531,1374.339966,13566.330078,6614.370117,5533.029785,6196.100098,14311.5,NA,366.209991,4.656,4.738,84.739998,NA
2007-01-10,2459.330078,1816.150024,12442.160156,1414.849976,25885.800781,11.47,2825.575928,19568.339844,16942.400391,1355.790039,13362.160156,6566.560059,5501.950195,6160.700195,14116.099609,NA,363.839996,4.682,4.77,85.080002,NA
2007-01-11,2484.850098,1834.859985,12514.980469,1423.819946,26247.900391,10.87,2770.110107,19385.369141,16838.169922,1365.310059,13630.709961,6687.299805,5609.799805,6230.100098,14328.799805,NA,370.100006,4.737,4.822,85.309998,NA
2007-01-12,2502.820068,1844.810059,12556.080078,1430.72998,26324.380859,10.15,2668.110107,19613.410156,17057.009766,1388.369995,14056.530273,6705.169922,5617.620117,6239,14368.200195,NA,371.859985,4.771,4.861,85.029999,NA
2007-01-16,2497.780029,1842.439941,12582.589844,1431.900024,26480.330078,10.74,2821.01709,20027.949219,17202.460938,1389.709961,14114.730469,6716.819824,5591.540039,6215.700195,14355.599609,NA,372.019989,4.751,4.844,85.050003,NA
2007-01-17,2479.419922,1827.680054,12577.150391,1430.619995,26558.5,10.59,2778.899902,20064.570313,17261.349609,1379.47998,14131.339844,6701.700195,5561.779785,6204.5,14295,NA,371.730011,4.787,4.881,84.980003,NA
2007-01-18,2443.209961,1793.680054,12567.929688,1426.369995,26112.869141,10.85,2756.98291,20277.509766,17370.929688,1383.209961,14217.75,6689.620117,5555.040039,6210.299805,14265.299805,NA,371.579987,4.751,4.846,84.910004,NA
2007-01-19,2451.310059,1796.810059,12565.530273,1430.5,26213.380859,10.4,2832.207031,20327.720703,17310.439453,1360.560059,14182.709961,6747.169922,5614.700195,6237.200195,14397.900391,NA,374.230011,4.773,4.86,84.860001,NA
2007-01-22,2431.070068,1779.02002,12477.160156,1422.949951,26432.25,10.77,2933.189941,20772.220703,17424.179688,1363.410034,14209.240234,6687.310059,5579.779785,6218.399902,14359.700195,NA,372.799988,4.759,4.847,85.019997,NA
2007-01-23,2431.409912,1773.400024,12533.799805,1427.98999,26810,10.34,2949.144043,20769.699219,17408.570313,1363.089966,14041.240234,6678.930176,5575.069824,6227.600098,14368.599609,NA,372.609985,4.804,4.897,84.669998,NA
2007-01-24,2466.280029,1802.630005,12621.769531,1440.130005,27338.300781,9.89,2975.128906,20821.050781,17507.400391,1383.060059,14110.459961,6748.370117,5638.080078,6314.799805,14540.700195,NA,376.019989,4.81,4.91,84.940002,NA
2007-01-25,2434.23999,1777.75,12502.55957,1423.900024,26899.339844,11.22,2857.36499,20669.830078,17458.300781,1382.359985,14282.719727,6719.580078,5609.200195,6269.299805,14537.299805,NA,374.869995,4.867,4.962,85.110001,NA
2007-01-26,2435.48999,1772.969971,12487.019531,1422.180054,27045.710938,11.13,2882.558105,20281.130859,17421.929688,1371.329956,NA,6690.339844,5582.299805,6228,14415.400391,NA,372.380005,4.879,4.98,85.279999,NA
2007-01-29,2441.090088,1775.079956,12490.780273,1420.619995,26834.050781,11.45,2945.262939,20236.679688,17470.460938,1363.099976,14211.959961,6726.009766,5619.700195,6239.899902,14507,NA,373.339996,4.892,4.982,85.099998,NA
2007-01-30,2448.639893,1777.76001,12523.30957,1428.819946,27135.369141,10.96,2930.562012,20460.460938,17490.189453,1370.719971,NA,6788.22998,5645.589844,6242,14553.400391,NA,374.600006,4.875,4.982,85.029999,NA
2007-01-31,2463.929932,1792.280029,12621.69043,1438.23999,27561.490234,10.42,2786.334961,20106.419922,17383.419922,1360.22998,14090.919922,6789.109863,5608.310059,6203.100098,14553.200195,NA,372.720001,4.826,4.926,84.610001,NA
2007-02-01,2468.379883,1791.449951,12673.679688,1445.939941,27842.759766,10.31,2785.431885,20430.160156,17519.5,1382.900024,14267.179688,6851.279785,5662.25,6282.200195,14571.5,NA,376.950012,4.837,4.933,84.629997,NA
2007-02-02,2475.879883,1798.130005,12653.490234,1448.390015,27933.070313,10.08,2673.211914,20563.679688,17547.109375,1413.140015,14403.769531,6885.759766,5677.299805,6310.899902,14631.200195,NA,378.980011,4.827,4.926,84.959999,NA
2007-02-05,2470.600098,1795.390015,12661.740234,1446.98999,NA,10.55,2612.537109,20455.619141,17344.800781,1417.949951,14515.900391,6874.060059,5681.109863,6317.899902,14616.700195,NA,379.230011,4.808,4.91,85.080002,NA
2007-02-06,2471.48999,1793.060059,12666.30957,1448,NA,10.65,2675.697021,20655.199219,17406.859375,1428.579956,14478.19043,6875.700195,5676.779785,6346.299805,14703.200195,NA,380.540009,4.765,4.87,84.779999,NA
2007-02-07,2490.5,1810.949951,12666.870117,1450.02002,28123.759766,10.32,2716.175049,20679.689453,17292.320313,1426.290039,14643.129883,6915.560059,5703,6369.5,14854.599609,NA,381.619995,4.745,4.852,84.75,NA
2007-02-08,2488.669922,1810.540039,12637.629883,1448.310059,28197.259766,10.44,2737.731934,20735.050781,17292.480469,1423.579956,14652.089844,6876.72998,5665.100098,6346.399902,14826,NA,378.299988,4.73,4.837,84.699997,NA
2007-02-09,2459.820068,1785.530029,12580.830078,1438.060059,27906.890625,11.1,2730.385986,20677.660156,17504.330078,1427.680054,14538.900391,6911.109863,5692.450195,6382.799805,14875.5,NA,380.23999,4.784,4.865,84.870003,NA
2007-02-12,2450.379883,1778.420044,12552.549805,1433.369995,27972.230469,11.61,2807.174072,20593.410156,NA,1414.290039,14190.700195,6859.450195,5643.950195,6353.5,14769,NA,378.059998,4.804,4.886,85.150002,NA
2007-02-13,2459.879883,1783.819946,12654.849609,1444.26001,28262.650391,10.34,2831.87207,20132.25,17621.449219,1418.439941,14090.980469,6895.339844,5682.689941,6381.799805,14824.599609,NA,378.720001,4.814,4.901,84.730003,NA
2007-02-14,2488.379883,1814.97998,12741.860352,1455.300049,28539.689453,10.23,2905.093018,20209.910156,17752.640625,1436.099976,14009.900391,6961.180176,5725.839844,6421.200195,14905.700195,NA,381.700012,4.73,4.826,84.199997,NA
2007-02-15,2497.100098,1823.410034,12765.009766,1456.810059,28498.75,10.22,2993.008057,20538.419922,17897.230469,1443.630005,14355.549805,6958.620117,5720.879883,6433.299805,14876.900391,NA,381.290009,4.706,4.804,84.010002,NA
2007-02-16,2496.310059,1821.48999,12767.570313,1455.540039,28491.070313,10.02,2998.474121,20567.910156,17875.650391,1448.810059,NA,6957.069824,5713.589844,6419.5,14851.200195,NA,380.809998,4.69,4.788,84.089996,NA
2007-02-20,2513.040039,1833.709961,12786.639648,1459.680054,28589.660156,10.24,NA,NA,17939.119141,1452.959961,14253.379883,6982.910156,5713.450195,6412.299805,14886.099609,NA,380.98999,4.68,4.78,84.190002,NA
2007-02-21,2518.419922,1839.130005,12738.410156,1457.630005,28715.960938,10.2,NA,20651.419922,17913.210938,1451.380005,14188.490234,6941.660156,5694.560059,6357.100098,14788.799805,NA,378.459991,4.692,4.789,84.209999,NA
2007-02-22,2524.939941,1846.339966,12686.019531,1456.380005,28676.480469,10.18,NA,20809.230469,18108.789063,1465.410034,14021.30957,6973.72998,5707.859863,6380.899902,14791.299805,NA,379.700012,4.73,4.83,84.32,NA
2007-02-23,2515.100098,1839.77002,12647.480469,1451.189941,28505.720703,10.58,NA,20711.650391,18188.419922,1469.880005,13632.530273,6992.580078,5716.379883,6401.5,14767.099609,NA,380.529999,4.678,4.782,84.07,NA
2007-02-26,2504.52002,1830.589966,12632.259766,1449.369995,28046.160156,11.15,3040.599121,20507.949219,18215.349609,1470.030029,13649.519531,7027.589844,5762.540039,6434.700195,14856.099609,NA,382.170013,4.631,4.733,83.93,NA
2007-02-27,2407.860107,1756.27002,12216.240234,1399.040039,26418.820313,18.309999,2771.791016,20147.869141,18119.919922,1454.599976,13478.830078,6819.649902,5588.390137,6286.100098,14408.299805,NA,370.559998,4.513,4.63,83.480003,NA
2007-02-28,2416.149902,1761.599976,12268.629883,1406.819946,26638.949219,15.42,2881.072998,19651.509766,17604.119141,1417.339966,12938.089844,6715.439941,5516.319824,6171.5,14248.400391,NA,365.029999,4.55,4.669,83.57,NA
2007-03-01,2404.209961,1753.449951,12234.339844,1403.170044,26647.650391,15.82,2797.189941,19346.599609,17453.509766,NA,13159.549805,6640.240234,5458.399902,6116,14064.900391,NA,361.790009,4.556,4.679,83.68,NA
2007-03-02,2368,1726.030029,12114.099609,1387.170044,26321.119141,18.610001,2831.525879,19442.009766,17217.929688,NA,12886.129883,6603.319824,5424.700195,6116.200195,13962.200195,NA,360.670013,4.515,4.65,83.739998,NA
2007-03-05,2340.679932,1712.939941,12050.410156,1374.119995,25788.369141,19.629999,2785.305908,18664.880859,16642.25,1376.150024,12415.040039,6534.569824,5385.029785,6058.700195,13749.099609,NA,356.399994,4.518,4.654,84.150002,NA
2007-03-06,2385.139893,1743.099976,12207.589844,1395.410034,26355.640625,15.96,2840.175049,19058.560547,16844.5,1402.930054,12697.089844,6595,5437.129883,6138.5,13825.900391,NA,359.690002,4.528,4.655,84.07,NA
2007-03-07,2374.639893,1736.099976,12192.450195,1391.969971,26184.390625,15.24,2896.593994,18918.640625,16764.619141,1410.949951,12579.75,6617.75,5455.069824,6156.5,13912.700195,NA,361.649994,4.497,4.636,83.779999,NA
2007-03-08,2387.72998,1746.430054,12260.700195,1401.890015,26773.789063,14.29,2928.014893,19175.169922,17090.310547,1423.890015,13049.349609,6713.22998,5524.259766,6227.700195,14194,NA,366.540009,4.509,4.65,84.099998,NA
2007-03-09,2387.550049,1744.73999,12276.320313,1402.839966,27106.529297,14.09,2937.909912,19134.880859,17164.039063,1423.579956,12884.990234,6716.52002,5537.839844,6245.200195,14257.200195,NA,367.350006,4.589,4.723,84.239998,NA
2007-03-12,2402.290039,1756.420044,12318.620117,1406.599976,27261.169922,13.99,2954.914063,19442.419922,17292.390625,1441.329956,12902.629883,6715.490234,5496.069824,6233.299805,14146.5,NA,365.48999,4.553,4.692,83.860001,NA
2007-03-13,2350.570068,1722.47998,12075.959961,1377.949951,26589.199219,18.129999,2964.793945,19333.140625,17178.839844,1436.050049,12982.980469,6623.990234,5432.939941,6161.200195,13982.900391,NA,361.559998,4.495,4.658,83.730003,NA
2007-03-14,2371.73999,1743.150024,12133.400391,1387.170044,26719.320313,17.27,2906.333984,18836.929688,16676.890625,1407.369995,12529.620117,6447.700195,5296.220215,6000.700195,13602.400391,NA,351.929993,4.522,4.694,83.610001,NA
2007-03-15,2378.699951,1744.869995,12159.679688,1392.280029,26883.529297,16.43,2951.697998,18969.439453,16860.390625,1426.930054,12543.849609,6585.470215,5389.850098,6133.200195,13940.400391,NA,359.019989,4.536,4.692,83.68,NA
2007-03-16,2372.659912,1742.22998,12110.410156,1386.949951,26901.419922,16.790001,2930.480957,18953.5,16744.150391,1427.880005,12430.400391,6579.870117,5382.160156,6130.600098,13977.400391,NA,359.059998,4.545,4.695,83.230003,NA
2007-03-19,2394.409912,1758.22998,12226.169922,1402.060059,NA,14.59,3014.441895,19266.740234,17009.550781,1443.390015,12644.990234,6671.410156,5458.950195,6189.399902,14250.200195,NA,364.420013,4.571,4.717,83.389999,NA
2007-03-20,2408.209961,1767.25,12288.099609,1410.939941,27407.460938,13.27,3032.195068,19356.900391,17163.199219,1444.170044,12705.94043,6700.290039,5503.27002,6220.299805,14323.200195,NA,367.230011,4.547,4.707,83.110001,NA
2007-03-21,2455.919922,1806.349976,12447.519531,1435.040039,28219.550781,12.19,3057.379883,19516.410156,NA,1442.849976,12945.879883,6712.060059,5502.180176,6256.799805,14310.5,NA,368.75,4.518,4.696,82.769997,NA
2007-03-22,2451.73999,1799.75,12461.139648,1434.540039,28258.800781,12.93,3071.225098,19690.25,17419.199219,1448.530029,13308.030273,6856.959961,5598.370117,6318,14490.099609,NA,374.200012,4.589,4.782,83.089996,NA
2007-03-23,2448.929932,1794.040039,12481.009766,1436.109985,28272.029297,12.95,3074.285889,19692.640625,17480.609375,1447.380005,13285.929688,6899.060059,5634.75,6339.399902,14545.700195,NA,375.980011,4.613,4.799,83.279999,NA
2007-03-26,2455.629883,1802.949951,12469.070313,1437.5,28158.970703,13.16,3122.811035,19765.849609,17521.960938,1449.77002,13124.320313,6828.819824,5576.299805,6291.899902,14469.599609,NA,372.850006,4.587,4.783,83.080002,NA
2007-03-27,2437.429932,1789.930054,12397.290039,1428.609985,28124.330078,13.48,3138.825928,19706.789063,17365.050781,1453.22998,NA,6858.339844,5587.060059,6292.600098,14536.799805,NA,372.459991,4.612,4.809,83.010002,NA
2007-03-28,2417.100098,1770.540039,12300.360352,1417.22998,28098.279297,14.98,3173.018066,19553.869141,17254.730469,1439.73999,12884.339844,6816.890137,5552.689941,6267.200195,14483,NA,370.100006,4.62,4.831,83.029999,NA
2007-03-29,2417.879883,1771.719971,12348.75,1422.530029,28704.240234,15.14,3197.537109,19821.779297,17263.939453,1450.949951,12979.660156,6897.080078,5631.529785,6324.200195,14605.299805,NA,374.290009,4.632,4.829,83.089996,NA
2007-03-30,2421.639893,1772.359985,12354.349609,1420.859985,28747.689453,14.64,3183.98291,19800.929688,17287.650391,1452.550049,13072.099609,6917.029785,5634.160156,6308,14641.700195,NA,374.220001,4.648,4.848,82.93,NA
2007-04-02,2422.26001,1773.329956,12382.299805,1424.550049,29171.519531,14.53,3252.594971,19809.699219,17028.410156,1459.530029,12455.370117,6937.169922,5645.560059,6315.5,14730.799805,4189.549805,375.529999,4.642,4.836,82.870003,NA
2007-04-03,2450.330078,1796.310059,12510.299805,1437.77002,29348.089844,13.46,3291.299072,20002.699219,17244.050781,1463.75,12624.580078,7045.560059,5711.910156,6366.100098,14953.200195,4246.299805,379.48999,4.664,4.846,83.150002,NA
2007-04-04,2458.689941,1801.73999,12530.049805,1439.369995,29370.939453,13.24,3291.541992,20209.710938,17544.089844,1483.410034,12786.769531,7073.910156,5739.009766,6364.700195,14943.099609,4261.830078,379.98999,4.652,4.845,82.959999,NA
2007-04-05,2471.340088,1812.939941,12560.200195,1443.76001,NA,13.23,3319.139893,NA,17491.419922,1482.040039,12856.080078,7099.910156,5741.379883,6397.299805,14974.900391,4271.540039,380.26001,4.674,4.868,82.68,NA
2007-04-09,2469.179932,1808.189941,12569.139648,1444.609985,29632.199219,13.14,3398.949951,NA,17743.759766,1501.060059,13177.740234,NA,NA,NA,NA,NA,NA,4.745,4.916,83.099998,NA
2007-04-10,2477.610107,1816.930054,12573.849609,1448.390015,29515.640625,12.68,3444.291016,20347.869141,17664.689453,1499.160034,13189.540039,7166.669922,5766.27002,6417.799805,15005.5,4301.470215,382.51001,4.724,4.906,82.699997,NA
2007-04-11,2459.310059,1798.089966,12484.620117,1438.869995,29278.75,13.49,3495.224121,20449.429688,17670.070313,1513.420044,13183.240234,7152.830078,5751.919922,6413.299805,14997.599609,4293.200195,382.190002,4.739,4.915,82.669998,NA
2007-04-12,2480.320068,1813.48999,12552.959961,1447.800049,29606.970703,12.71,3531.029053,20380.210938,17540.419922,1525.609985,13113.80957,7142.950195,5748.939941,6416.399902,14883,4280.02002,380.790009,4.737,4.91,82.370003,NA
2007-04-13,2491.939941,1816.849976,12612.129883,1452.849976,29762.220703,12.2,3518.26709,20340.970703,17363.949219,1520.780029,13384.080078,7212.069824,5789.339844,6462.399902,14965.299805,4317.350098,383.329987,4.761,4.926,82.129997,NA
2007-04-16,2518.330078,1833.959961,12720.459961,1468.329956,29718.660156,11.98,3596.440918,20757.529297,17628.300781,1532.040039,13695.580078,7338.060059,5861.970215,6516.200195,15020.799805,4379.25,387.720001,4.735,4.89,82.07,NA
2007-04-17,2516.949951,1834.910034,12773.040039,1471.47998,29598.990234,12.14,3611.870117,20788.609375,17527.449219,1528.660034,13607.040039,7348.830078,5858.140137,6497.799805,14966,4384.379883,387.859985,4.688,4.847,81.830002,NA
2007-04-18,2510.5,1832.390015,12803.839844,1472.5,29559.519531,12.42,3612.395996,20777.089844,17667.330078,1534.579956,13672.19043,7282.339844,5835.950195,6449.399902,14870.400391,4358.950195,385.880005,4.654,4.819,81.739998,NA
2007-04-19,2505.350098,1832.469971,12808.629883,1470.72998,29614.050781,12.54,3449.016113,20299.710938,17371.970703,1513.660034,13619.700195,7242.72998,5829.040039,6440.600098,14821.700195,4339.930176,384.390015,4.67,4.836,81.639999,NA
2007-04-20,2526.389893,1845.890015,12961.980469,1484.349976,29832.480469,12.07,3584.204102,20566.589844,17452.619141,1533.079956,13897.410156,7342.540039,5938.899902,6486.799805,15080.900391,4416.790039,389.269989,4.672,4.845,81.639999,NA
2007-04-23,2523.669922,1850.180054,12919.400391,1480.930054,29593.849609,13.04,3710.885986,20556.570313,17455.369141,1544.349976,13928.330078,7335.620117,5917.319824,6479.700195,14987.099609,4400.120117,388.850006,4.65,4.828,81.739998,NA
2007-04-24,2524.540039,1858.869995,12953.94043,1480.410034,29544.179688,13.12,3720.531982,20572.800781,17451.769531,1556.709961,14136.719727,7270.319824,5886.029785,6429.5,14578.700195,4367.830078,385.380005,4.622,4.804,81.550003,NA
2007-04-25,2547.889893,1881.329956,13089.889648,1495.420044,29444.150391,13.21,3743.958984,20536.779297,17236.160156,1545.550049,14217.769531,7343.080078,5947.330078,6462,14620.400391,4404.439941,387.799988,4.646,4.83,81.43,NA
2007-04-26,2554.459961,1889.569946,13105.5,1494.25,29342.699219,12.79,3783.062988,20667.289063,17429.169922,1553.130005,14228.879883,7387.02002,5944.439941,6469.399902,14611,4414.209961,388.399994,4.684,4.868,81.75,NA
2007-04-27,2557.209961,1891.060059,13120.94043,1494.069946,29372.929688,12.45,3759.866943,20526.5,17400.410156,1542.52002,13908.580078,7378.120117,5930.77002,6418.700195,14403.599609,4383.129883,386.100006,4.698,4.885,81.529999,NA
2007-04-30,2525.090088,1867.75,13062.910156,1482.369995,28996.710938,14.22,3841.271973,20318.980469,NA,1542.23999,13872.370117,7408.870117,5960.040039,6449.200195,14374.599609,4392.339844,386.929993,4.63,4.817,81.449997,NA
2007-05-01,2531.530029,1873.430054,13136.139648,1486.300049,NA,13.51,NA,NA,17274.980469,NA,NA,NA,NA,6419.600098,NA,NA,NA,4.642,4.816,81.599998,NA
2007-05-02,2557.840088,1889.72998,13211.879883,1495.920044,29259.919922,13.08,NA,20388.490234,17394.919922,1553.300049,NA,7455.930176,5990.129883,6484.5,14416.900391,4415.47998,388.640015,4.646,4.819,81.739998,NA
2007-05-03,2565.459961,1895.640015,13241.379883,1502.390015,29752.949219,13.09,NA,20681.580078,NA,1559.859985,14078.209961,7476.689941,6004.279785,6537.799805,14395.599609,4427.319824,389.720001,4.674,4.837,81.949997,NA
2007-05-04,2572.149902,1895.699951,13264.620117,1505.619995,30013.849609,12.91,NA,20841.080078,NA,1567.73999,13934.269531,7516.759766,6068.830078,6603.700195,14620.299805,4445.589844,392.730011,4.64,4.804,81.739998,NA
2007-05-07,2570.949951,1895.959961,13312.969727,1509.47998,29776.570313,13.15,NA,20896.640625,17669.830078,1584.459961,13879.25,7525.689941,6071.47998,NA,14672.099609,4441.310059,392.880005,4.636,4.794,81.68,NA
2007-05-08,2571.75,1899.829956,13309.070313,1507.719971,29572.400391,13.21,3950.010986,20706.349609,17656.839844,1582.650024,13765.459961,7442.200195,6034.25,6550.399902,14556.700195,4411.319824,389.790009,4.634,4.802,81.940002,NA
2007-05-09,2576.340088,1905.650024,13362.870117,1512.579956,29992.830078,12.88,4013.084961,20844.779297,17748.119141,1593.420044,13781.509766,7475.990234,6051.629883,6549.600098,14609.400391,NA,390.579987,4.668,4.838,82.019997,NA
2007-05-10,2533.73999,1875.199951,13215.129883,1491.469971,29653.820313,13.6,4049.700928,20746.269531,17736.960938,1599.680054,13771.230469,7415.330078,6012.759766,6524.100098,14575.400391,4391.870117,387.720001,4.648,4.829,82.290001,NA
2007-05-11,2562.219971,1898.790039,13326.219727,1505.849976,30058.75,12.95,4021.677979,20468.210938,17553.720703,1603.560059,13796.160156,7479.339844,6050.629883,6565.700195,14736.299805,4423.069824,389.779999,4.67,4.849,82.120003,NA
2007-05-14,2546.439941,1888.079956,13346.780273,1503.150024,29766.330078,13.96,4046.39209,20979.240234,17677.939453,1605.77002,13965.860352,7459.609863,6026.419922,6555.5,14686,4413.720215,388.959991,4.69,4.86,82.07,NA
2007-05-15,2525.290039,1871.790039,13383.839844,1501.189941,29619.910156,14.01,3899.177979,20868.150391,17512.980469,1589.369995,13929.330078,7505.350098,6049.759766,6568.700195,14824.200195,4441.029785,390.209991,4.712,4.884,81.75,NA
2007-05-16,2547.419922,1891.569946,13487.530273,1514.140015,30341.25,13.5,3986.042969,20937.259766,17529,1600.599976,14127.30957,7481.25,6017.910156,6559.5,14918.799805,4422.620117,389.470001,4.708,4.874,82.160004,NA
2007-05-17,2539.379883,1884.680054,13476.719727,1512.75,30478.369141,13.51,4048.292969,20994.609375,17498.599609,1615.579956,14299.709961,7499.5,6027,6579.299805,14968.200195,NA,NA,4.756,4.913,82.32,NA
2007-05-18,2558.449951,1896.930054,13556.530273,1522.75,30676.339844,12.76,4030.258057,20904.839844,17399.580078,1612.25,14303.410156,7607.540039,6101.140137,6640.899902,15068.400391,4480.810059,393.950012,4.804,4.957,82.199997,NA
2007-05-21,2578.790039,1911.160034,13542.879883,1525.099976,30708.730469,13.3,4072.225098,20927.75,17556.869141,1628.199951,14418.599609,7619.310059,6089.910156,6636.799805,15055.5,4465.540039,393.359985,4.788,4.941,82.360001,NA
2007-05-22,2588.02002,1916.449951,13539.950195,1524.119995,30802.25,13.06,4110.378906,20843.919922,17680.050781,1642.880005,14453.719727,7659.390137,6089.720215,6606.600098,15070.900391,4469.879883,393.390015,4.831,4.983,82.389999,NA
2007-05-23,2577.050049,1904.410034,13525.650391,1522.280029,30869.839844,13.24,4173.708984,20798.970703,17705.119141,1646.589966,14363.259766,7735.879883,6120.200195,6616.399902,15223.900391,4499.689941,396.390015,4.859,5.014,82.309998,NA
2007-05-24,2537.919922,1874.599976,13441.129883,1507.51001,30338.580078,14.08,4151.132813,NA,17696.970703,NA,14218.110352,7697.379883,6048.310059,6565.5,15094.900391,4452.700195,393.549988,4.857,5.008,82.410004,NA
2007-05-25,2557.189941,1889.25,13507.280273,1515.72998,30700.009766,13.34,4179.775879,20520.660156,17481.210938,1644.560059,14338.450195,7739.200195,6057.490234,6570.600098,15053.200195,4463.52002,393.480011,4.861,5.008,82.330002,NA
2007-05-29,2572.060059,1899.790039,13521.339844,1518.109985,30664.730469,13.53,4334.923828,20469.589844,17672.560547,1661.800049,14508.209961,7781.040039,6056.390137,6606.5,15188.599609,4474.810059,394.390015,4.882,5.014,82.309998,NA
2007-05-30,2592.590088,1918.079956,13633.080078,1530.22998,31380,12.83,4053.087891,20293.759766,17588.259766,1662.719971,14411.379883,7764.970215,6042.149902,6602.100098,15137.299805,4468.720215,393.649994,4.878,5.01,82.43,NA
2007-05-31,2604.52002,1928.189941,13627.639648,1530.619995,31398.960938,13.05,4109.653809,20634.470703,17875.75,1700.910034,14544.459961,7883.040039,6104,6621.5,15329.400391,4512.649902,396.73999,4.89,5.011,82.300003,NA
2007-06-01,2613.919922,1928.26001,13668.110352,1536.339966,31946.400391,12.78,4000.741943,20602.869141,17958.880859,1716.23999,14570.75,7987.850098,6168.149902,6676.700195,15501.5,4556.970215,400.309998,4.956,5.062,82.32,NA
2007-06-04,2618.290039,1933.72998,13676.320313,1539.180054,32096.210938,13.29,3670.400879,20729.589844,17973.419922,1737.589966,14495.769531,7976.790039,6125.810059,6664.100098,15414.299805,4537.810059,399.019989,4.929,5.022,82.059998,NA
2007-06-05,2611.22998,1932.349976,13595.459961,1530.949951,32271.380859,13.63,3767.101074,20842.150391,18053.810547,1742.189941,14535.009766,7919.830078,6078.540039,6632.799805,15314.900391,4513.180176,396.609985,4.976,5.067,81.889999,NA
2007-06-06,2587.179932,1914.849976,13465.669922,1517.380005,31681.759766,14.87,3776.316895,20818.609375,18040.929688,NA,14255.929688,7730.049805,5977.870117,6522.700195,14928.799805,4437.290039,390.070007,4.97,5.084,81.900002,NA
2007-06-07,2541.379883,1882.170044,13266.730469,1490.719971,31184.490234,17.059999,3890.802979,20800.160156,18053.380859,1753.040039,14186.179688,7618.609863,5890.490234,6505.100098,14725.900391,4381.450195,385.459991,5.099,5.203,82.290001,NA
2007-06-08,2573.540039,1906.26001,13424.389648,1507.670044,31466.599609,14.84,3913.13501,20509.150391,17779.089844,1727.280029,14063.80957,7590.5,5883.290039,6505.100098,14816.5,4376.419922,385.089996,5.118,5.22,82.690002,NA
2007-06-11,2572.149902,1901.959961,13424.959961,1509.119995,31833.439453,14.71,3995.679932,20615.490234,17834.480469,1716.560059,14083.410156,7706.100098,5940.089844,6567.5,14940.599609,4415.5,388.880005,5.137,5.24,82.709999,NA
2007-06-12,2549.77002,1890.670044,13295.009766,1493,31608.589844,16.67,4072.137939,20636.390625,17760.910156,1729.880005,14130.950195,7678.259766,5898.160156,6520.5,14764.299805,4383.02002,386.799988,5.248,5.356,82.889999,NA
2007-06-13,2582.310059,1913.869995,13482.349609,1515.670044,31884.060547,14.73,4176.479004,20578.75,17732.769531,1721.98999,14003.030273,7680.759766,5934.27002,6559.600098,14829.799805,4401.680176,388.220001,5.2,5.276,83.040001,NA
2007-06-14,2599.409912,1924.540039,13553.730469,1522.969971,32114.089844,13.64,4115.208984,20867.259766,17842.289063,1769.180054,14203.719727,7849.160156,6047.22998,6649.899902,15078.400391,4485.040039,394.290009,5.217,5.292,83.129997,NA
2007-06-15,2626.709961,1942.410034,13639.480469,1532.910034,32128.970703,13.94,4132.868164,21017.050781,17971.490234,1772.26001,14162.709961,8030.640137,6105.279785,6732.399902,15252.099609,4551,399.269989,5.171,5.263,82.849998,NA
2007-06-18,2626.600098,1944.369995,13612.980469,1531.050049,32218.169922,13.42,4253.348145,21582.890625,18149.519531,1806.880005,14080.139648,8036.120117,6087.149902,6703.5,15103.599609,4530.220215,397.869995,5.142,5.252,82.709999,NA
2007-06-19,2626.76001,1941.75,13635.419922,1533.699951,32064.990234,12.85,4269.523926,NA,18163.609375,1807.849976,14295.5,8033.52002,6071.669922,6650.200195,15000.200195,4527.220215,396.420013,5.086,5.198,82.540001,NA
2007-06-20,2599.959961,1922.119995,13489.419922,1512.839966,31550.759766,14.67,4181.323242,21684.669922,18211.679688,1783.790039,14411.950195,8090.490234,6093.290039,6649.299805,15035.700195,4545.609863,397.850006,5.123,5.234,82.519997,NA
2007-06-21,2616.959961,1941.319946,13545.839844,1522.189941,31830.839844,14.21,4230.823242,21954.669922,18240.300781,1794.23999,14499.240234,7964.709961,6029.790039,6596,14882.400391,4488.660156,393.700012,5.163,5.284,82.730003,NA
